#Star_ID        Band            ew(A)
B0.5-IV-ID0719  MgII/4481       0.0262736749679
B0.5-IV-ID0719  HeII/4541       -0.0940729204672
B0.5-IV-ID0719  SiIII/4553      -0.220394388606
B0.5-IV-ID0719  OII+CIII/4645   0.131746902009
B0.5-IV-ID0719  HeII/4686       0.164226905505
B0.5-IV-ID0786  CaIIK/3928      0.249476458084
B0.5-IV-ID0786  HeI/4009        0.410810014433
B0.5-IV-ID0786  HeI/4026        0.821407717163
B0.5-IV-ID0786  SiIV/4088       0.139064448242
B0.5-IV-ID0786  SiIV/4116       0.105981574896
B0.5-IV-ID0786  HeI/4121        0.355290575646
B0.5-IV-ID0786  SiII/4130       0.00731089944216
B0.5-IV-ID0786  HeI/4144        0.502187183792
B0.5-IV-ID0786  HeII/4200       -0.00509773941685
B0.5-IV-ID0786  FeII/4233       -0.0618864361051
B0.5-IV-ID0786  HeI/4387        0.558062422023
B0.5-IV-ID0786  OII/4416        0.0839249810343
B0.5-IV-ID0786  HeI/4471        0.831604881554
B0.5-IV-ID0786  MgII/4481       0.035425463841
B0.5-IV-ID0786  HeII/4541       0.0338612109446
B0.5-IV-ID0786  SiIII/4553      0.0825860026665
B0.5-IV-ID0786  OII+CIII/4645   0.501713414996
B0.5-IV-ID0786  HeII/4686       0.191428408442
B0.5-IV-ID0985  CaIIK/3928      0.0964509580859
B0.5-IV-ID0985  HeI/4009        0.205920386124
B0.5-IV-ID0985  HeI/4026        0.619863636418
B0.5-IV-ID0985  SiIV/4088       0.0756048805167
B0.5-IV-ID0985  SiIV/4116       0.0512350571138
B0.5-IV-ID0985  HeI/4121        0.405078332576
B0.5-IV-ID0985  SiII/4130       0.0480331358801
B0.5-IV-ID0985  HeI/4144        0.47542959187
B0.5-IV-ID0985  HeII/4200       0.0613107817749
B0.5-IV-ID0985  FeII/4233       -0.025910348519
B0.5-IV-ID0985  HeI/4387        0.566615467804
B0.5-IV-ID0985  OII/4416        0.0590327889104
B0.5-IV-ID0985  HeI/4471        0.430101410638
B0.5-IV-ID0985  MgII/4481       -0.0619576827145
B0.5-IV-ID0985  HeII/4541       -0.0393369291193
B0.5-IV-ID0985  SiIII/4553      0.0628719993466
B0.5-IV-ID0985  OII+CIII/4645   0.577821083145
B0.5-IV-ID0985  HeII/4686       0.24689267113
B0.5-IV-ID1003  CaIIK/3928      0.169508365728
B0.5-IV-ID1003  HeI/4009        0.233655381715
B0.5-IV-ID1003  HeI/4026        0.744575840412
B0.5-IV-ID1003  SiIV/4088       0.189660863458
B0.5-IV-ID1003  SiIV/4116       0.0766078013999
B0.5-IV-ID1003  HeI/4121        0.134124090705
B0.5-IV-ID1003  SiII/4130       -0.0527978513942
B0.5-IV-ID1003  HeI/4144        0.271382266238
B0.5-IV-ID1003  HeII/4200       0.179802797381
B0.5-IV-ID1003  FeII/4233       -0.0373324253468
B0.5-IV-ID1003  HeI/4387        0.5083536274
B0.5-IV-ID1003  OII/4416        0.0331132213709
B0.5-IV-ID1003  HeI/4471        0.751245669493
B0.5-IV-ID1003  MgII/4481       0.349990699548
B0.5-IV-ID1003  HeII/4541       -0.11543430294
B0.5-IV-ID1003  SiIII/4553      -0.00594422210025
B0.5-IV-ID1003  OII+CIII/4645   0.379454085331
B0.5-IV-ID1003  HeII/4686       0.202695587021
B0.5-IV-ID1027  CaIIK/3928      0.202868583301
B0.5-IV-ID1027  HeI/4009        0.389707677568
B0.5-IV-ID1027  HeI/4026        1.01369711577
B0.5-IV-ID1027  SiIV/4088       0.181563326826
B0.5-IV-ID1027  SiIV/4116       0.183381684485
B0.5-IV-ID1027  HeI/4121        0.363751943129
B0.5-IV-ID1027  SiII/4130       0.0302148407426
B0.5-IV-ID1027  HeI/4144        0.492106525838
B0.5-IV-ID1027  HeII/4200       -0.0325705623011
B0.5-IV-ID1027  FeII/4233       -0.0429910683104
B0.5-IV-ID1027  HeI/4387        0.598606583835
B0.5-IV-ID1027  OII/4416        0.106179494576
B0.5-IV-ID1027  HeI/4471        0.915688436495
