Name,RAJ2000,DEJ2000,U,e_U,B,e_B,V,e_V,I,e_I,J,e_J,H,e_H,K,e_K,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],SpT
"[W60] C10                  ",83.3369,-67.50883,,,14.199,,12.21,,10.1,0.05,8.826,0.029,8.019,0.026,7.689,0.026,7.338,0.017,7.422,0.026,7.183,0.013,6.82,0.015,4.632,0.029,RSG
"[M2002] LMC 175549         ",85.24666,-69.31005,16.925,0.044,15.524,0.02,13.296,0.01,11.079,0.03,8.772,0.026,7.939,0.042,7.491,0.029,7.066,0.033,6.915,0.021,6.644,0.018,6.132,0.02,3.717,0.02,RSG
"[M2002] LMC 175188         ",85.18233,-69.36616,17.639,0.058,15.294,0.01,13.576,0.01,10.659,0.03,8.819,0.021,7.909,0.04,7.445,0.024,7.056,0.044,7.042,0.025,6.674,0.018,6.132,0.023,4.633,0.028,RSG
"SP77  54-38                ",85.29442,-69.63446,16.702,0.067,14.64,0.23,12.972,0.094,10.15,0.03,8.789,0.024,7.982,0.026,7.631,0.018,7.155,0.032,7.237,0.024,6.932,0.018,6.57,0.016,4.272,0.03,RSG
"[M2002] LMC 169142         ",84.4379,-69.34683,13.043,0.01,13.074,0.01,12.166,0.01,10.59,0.02,8.961,0.02,8.177,0.042,7.715,0.027,7.207,0.029,7.026,0.03,6.661,0.018,6.058,0.023,3.626,0.04,RSG
"[W60] D17                  ",82.509445,-67.0459,14.883,0.02,13.024,,11.226,,10.039,0.02,8.755,0.034,8.162,0.024,7.974,0.02,7.64,0.026,7.733,0.032,7.491,0.02,7.278,0.02,6.013,0.035,RSG
"SV* HV  2360               ",78.193214,-67.3272,16.869,0.076,15.137,0.029,12.998,0.117,10.594,0.02,8.783,0.026,7.982,0.033,7.59,0.027,7.186,0.028,6.947,0.023,6.631,0.019,6.045,0.023,3.682,0.021,RSG
"[M2002] LMC 175464         ",85.23053,-69.39034,17.013,0.12,15.154,0.01,12.956,0.01,10.914,0.03,8.827,0.02,7.873,0.033,7.544,0.018,7.28,0.033,7.395,0.025,7.128,0.019,6.847,0.018,4.807,0.029,RSG
"[M2002] LMC 143877         ",82.337494,-68.792046,,,13.76,,11.48,,10.201,0.02,8.954,0.021,8.248,0.044,7.974,0.036,7.79,0.025,7.92,0.027,7.659,0.016,7.405,0.02,6.702,0.051,RSG
"SV* HV  2798               ",85.647285,-69.14683,16.433,0.07,14.634,0.01,12.616,0.01,10.419,0.03,8.842,0.02,8.017,0.024,7.706,0.02,7.454,0.029,7.626,0.026,7.367,0.02,7.033,0.018,5.01,0.045,RSG
"SV* HV   996               ",83.14841,-67.91916,,,15.915,0.014,13.968,0.019,10.732,0.03,8.991,0.024,8.156,0.031,7.643,0.016,6.792,0.035,6.429,0.026,6.086,0.027,5.529,0.022,3.198,0.019,RSG
"[M2002] LMC 148035         ",82.64803,-68.989845,,,15.4,,13.42,,10.212,0.04,8.747,0.03,7.897,0.036,7.553,0.024,7.219,0.03,7.31,0.025,7.026,0.017,6.629,0.016,4.357,0.023,RSG
"[M2002] LMC 139413         ",81.94783,-69.22237,14.493,0.02,14.264,0.01,12.736,0.01,,,8.815,0.021,7.998,0.042,7.604,0.027,7.306,0.033,7.275,0.027,6.862,0.017,6.118,0.023,4.065,0.023,RSG
"[M2002] LMC 176135         ",85.34034,-69.53025,16.423,0.12,15.16,,13.06,,10.653,0.03,8.996,0.035,8.163,0.027,7.818,0.029,7.539,0.031,7.56,0.026,7.286,0.015,6.895,0.016,4.542,0.028,RSG
"SV* HV   894               ",76.389595,-70.56304,14.453,0.02,14.374,0.01,12.976,0.01,10.604,0.03,8.828,0.027,8.002,0.033,7.638,0.026,7.286,0.039,7.285,0.025,6.996,0.022,6.487,0.024,3.846,0.02,RSG
"SV* HV   986               ",82.78867,-67.43192,16.923,0.11,14.824,0.01,12.866,0.01,10.777,0.04,8.797,0.019,7.948,0.042,7.631,0.024,7.454,0.021,7.51,0.023,7.318,0.013,7.079,0.018,5.183,0.026,RSG
"[M2002] LMC 175746         ",85.278725,-69.28742,17.093,0.13,15.414,0.01,13.356,0.01,10.424,0.03,8.956,0.024,8.17,0.038,7.772,0.017,7.338,0.028,7.406,0.024,7.135,0.017,6.811,0.017,4.713,0.035,RSG
